assertion_id	design_section	fixture_or_artifact	test_or_check
PV-15.1-ALIGNED	15.1	cases.tsv#aligned-block	corpus-category-closure
PV-15.1-ALTERNATIVE	15.1	cases.tsv#similar,x-plus-y	actual-text-resolution
PV-15.1-BASIC	15.1	cases.tsv#x-plus-y,similar,not-divides,ordered-pair	corpus-category-closure
PV-15.1-BLOCKS	15.1	cases.tsv#aligned-block,long-block,numbered-aligned	block-atomicity
PV-15.1-LANGUAGE	15.1	fragments.tsv#language-kinds	language-four-kind-closure
PV-15.1-MIXED-HEIGHTS	15.1	fragments.tsv#mixed-heights	inline-line-metrics
PV-15.1-PAINT	15.1	cases.tsv#fraction-equality,matrix,not-divides,x-plus-y	vector-paint-closure
PV-15.1-REUSE	15.1	dedupe-ten-use.pdf,dedupe-two-alias.pdf	dedupe-resource-closure
PV-15.2-BASELINE	15.2	inline-layout-trace.json	inline-baseline-equation
PV-15.2-BLOCK-ALIGN	15.2	block-layout-trace.json	block-alignment-number
PV-15.2-BLOCK-ATOMIC	15.2	fragments.tsv#block-page-end	block-page-end-whole-move
PV-15.2-INLINE-ATOMIC	15.2	fragments.tsv#line-end	inline-atomic-break
PV-15.2-LINE-HEIGHT	15.2	fragments.tsv#mixed-heights	inline-max-ascent-descent
PV-15.2-SPACING	15.2	fragments.tsv#japanese-boundaries,line-end	inline-boundary-spacing
PV-15.3-ACCESSIBILITY	15.3	tagged-pdf-manifest.json,corpus-output.pdf	tagged-vector-semantics
PV-15.3-DEDUP	15.3	dedupe-ten-use.pdf,dedupe-two-alias.pdf	one-form-ten-do-and-cross-id-provenance
PV-15.3-EXTRACTION	15.3	output.pdf,corpus-output.pdf	actual-text-document-order
PV-15.3-MANIFEST	15.3	build-manifest-vector.json,effective-document-package.json	manifest-dependency-closure
PV-15.3-NAVIGATION	15.3	book-navigation-manifest.json	language-navigation-closure
PV-15.3-VECTOR	15.3	output.pdf,corpus-output.pdf	no-raster-no-tex-no-form-mcid
PV-15.4-ADMISSION	15.4	negative-integration.tsv	negative-resource-admission
PV-15.4-LAYOUT	15.4	negative-integration.tsv	negative-layout-limits
PV-15.4-RECEIPTS	15.4	negative-integration.tsv	negative-receipt-tamper
PV-15.4-SYNTAX	15.4	negative-integration.tsv	negative-syntax-contract
PV-15.5-ALIASED-PATH	15.5	verify_reproducibility.py	private-staging-path-alias
PV-15.5-SCHEDULE	15.5	artifact-index.json	owner-private-schedule-byte-identity
